day_of_week,hour_of_day,category,lead_time_days,payment_online,used_loyalty,previous_no_shows,no_show
4,15,Nails,6,1,0,0,0
2,9,Makeup,8,1,1,0,0
2,12,Body,3,1,0,0,0
3,11,Hair,22,1,0,0,0
5,10,Makeup,0,1,0,5,0
5,10,Skincare,2,0,0,0,0
4,17,Body,1,1,1,5,1
1,9,Makeup,1,1,0,0,0
0,9,Body,12,0,1,0,0
2,17,Body,20,1,0,2,0
2,17,Body,7,1,1,2,0
4,15,Nails,4,1,0,0,0
0,9,Makeup,12,0,0,0,0
1,10,Makeup,5,0,0,3,1
6,15,Hair,6,0,0,0,0
6,11,Skincare,2,0,0,0,0
2,17,Body,2,1,0,0,1
4,13,Makeup,30,0,0,0,1
0,9,Hair,6,0,1,0,0
1,16,Body,0,0,0,0,0
1,10,Body,0,1,1,0,0
0,9,Makeup,11,1,0,0,0
5,10,Skincare,9,1,0,0,0
2,13,Hair,10,0,1,0,0
6,17,Skincare,12,1,0,2,0
3,9,Makeup,30,1,0,0,0
1,11,Hair,1,0,0,0,0
5,9,Hair,9,0,0,2,0
1,14,Skincare,5,1,0,0,0
2,17,Hair,1,0,1,0,0
2,11,Body,27,1,0,1,0
5,9,Body,2,0,0,0,0
0,9,Body,0,0,0,0,0
2,11,Hair,4,0,0,1,0
0,11,Skincare,5,1,0,0,0
4,10,Body,2,0,0,0,0
1,10,Hair,4,1,0,0,0
5,16,Skincare,17,0,0,0,1
2,12,Nails,9,0,0,0,0
2,15,Skincare,15,0,0,0,0
2,11,Hair,9,0,0,0,0
1,17,Hair,2,0,0,0,0
6,12,Nails,5,0,0,0,0
5,12,Nails,6,0,0,0,0
4,14,Makeup,1,0,0,0,0
6,17,Skincare,5,0,1,5,0
2,12,Hair,4,1,1,0,0
1,11,Makeup,10,0,0,0,0
3,9,Body,0,1,0,0,0
6,12,Makeup,5,0,0,0,0
3,10,Makeup,8,0,0,0,0
2,16,Skincare,3,1,1,0,0
1,11,Skincare,18,1,0,0,0
0,13,Body,1,0,1,0,0
3,17,Makeup,6,1,0,0,0
2,14,Hair,9,0,0,0,0
2,15,Skincare,3,0,0,2,0
6,9,Body,9,0,1,0,0
5,12,Nails,10,1,0,0,0
6,12,Makeup,0,0,1,3,0
3,10,Skincare,7,1,0,0,0
3,16,Nails,20,0,0,2,0
3,12,Body,10,0,0,0,0
1,17,Skincare,9,1,1,1,0
4,12,Hair,2,0,0,0,0
1,12,Hair,0,0,0,0,0
5,10,Nails,4,1,0,0,0
2,14,Hair,4,0,1,0,0
2,14,Nails,0,1,0,0,1
3,14,Body,5,0,0,0,0
2,16,Skincare,3,0,0,0,0
2,10,Hair,10,0,0,0,0
5,14,Skincare,1,0,1,0,0
1,11,Nails,3,0,0,0,0
0,17,Skincare,1,1,0,0,0
4,11,Skincare,7,0,0,0,0
5,12,Body,7,0,0,0,1
1,15,Hair,1,0,0,2,0
1,10,Hair,11,0,0,1,0
3,12,Makeup,2,1,0,0,0
0,16,Skincare,15,1,0,0,0
0,16,Nails,7,0,0,0,1
1,10,Makeup,0,1,0,0,0
0,13,Hair,4,1,0,0,0
0,14,Skincare,6,1,0,0,0
0,13,Body,10,0,0,1,1
2,13,Body,10,0,1,0,0
0,15,Skincare,20,0,1,0,0
1,12,Body,1,1,1,0,0
1,10,Makeup,2,0,0,5,1
1,17,Skincare,11,1,0,2,0
2,13,Body,11,1,1,0,0
5,16,Skincare,9,1,0,0,0
0,10,Hair,7,1,0,0,0
1,15,Hair,1,0,1,0,0
6,17,Skincare,18,1,1,0,0
0,16,Skincare,5,0,1,0,0
6,15,Hair,5,1,0,0,0
5,10,Skincare,14,0,1,0,0
2,15,Body,0,0,0,0,0
3,17,Nails,0,0,0,0,1
2,16,Nails,2,0,0,0,0
6,9,Hair,7,0,1,0,0
6,16,Skincare,16,1,0,0,0
3,14,Makeup,12,0,0,0,0
1,11,Makeup,0,1,1,0,0
4,11,Nails,4,1,1,0,0
4,17,Hair,15,1,0,4,0
3,17,Skincare,21,1,1,0,0
2,10,Body,3,0,0,0,0
